#{"t_start": 1779209359.175848, "env_id": "None"}
r,l,t
145.95,19,31.993576
147.0,18,31.996122
147.15,21,31.999104
145.95,21,32.002119
144.3,22,32.00524
147.0,18,32.007804
146.25,19,32.010517
141.8,24,32.01391
145.0,20,32.016735
147.05,19,32.019414
145.0,20,32.022278
147.15,21,32.025248
146.0,20,32.028055
141.15,23,32.031292
147.05,19,32.033978
142.15,25,32.037512
144.25,23,32.040801
104.2,68,32.050371
145.95,19,32.053062
143.15,21,32.05604
147.0,18,32.058632
147.05,19,32.061316
143.95,21,32.064281
145.0,20,32.067105
143.95,23,32.070358
144.3,22,32.073494
147.05,19,32.076165
146.05,21,32.079141
